id_factura,importe_de_venta,importe_coste,tipo,horas_totales,horas_facturadas,fecha,contador_de_serie_de_factura,nº_documento,cliente,forma_de_pago,base_total,descuento,iva_total,total_factura,fecha_cliente
32168.0,33.39,0.0,RMM,0,0,2021-05-01,44.0,673.0,id_751,1,89.44,0.0,18.78,108.22,2016-04-08 13:01:00
32171.0,20.28,0.0,RMM,0,0,2021-05-01,44.0,676.0,id_803,1,180.79,0.0,37.97,218.76,2016-04-08 13:01:00
32171.0,55.97,0.0,RMM,0,0,2021-05-01,44.0,676.0,id_803,1,180.79,0.0,37.97,218.76,2016-04-08 13:01:00
32171.0,104.54,0.0,SMI,0,0,2021-05-01,44.0,676.0,id_803,1,180.79,0.0,37.97,218.76,2016-04-08 13:01:00
32176.0,105.92,0.0,SMI,0,0,2021-05-01,44.0,681.0,id_488,1,314.02,0.0,65.94,379.96,2016-04-08 13:00:00
32176.0,64.58,0.0,RMM,0,0,2021-05-01,44.0,681.0,id_488,1,314.02,0.0,65.94,379.96,2016-04-08 13:00:00
32176.0,23.4,0.0,RMM,0,0,2021-05-01,44.0,681.0,id_488,1,314.02,0.0,65.94,379.96,2016-04-08 13:00:00
32176.0,120.12,0.0,Licencia MS,0,0,2021-05-01,44.0,681.0,id_488,1,314.02,0.0,65.94,379.96,2016-04-08 13:00:00
32126.0,18.24,0.0,Venta accesorios,0,0,2021-05-01,44.0,631.0,id_267,1,232.54,0.0,48.83,281.37,2016-04-08 13:00:00
32138.0,156.05,0.0,HW/SW Seguridad,0,0,2021-05-01,44.0,643.0,id_1057,2,156.05,0.0,32.77,188.82,2018-05-08 18:14:00
32166.0,14.0,0.0,Licencia SW,0,0,2021-05-01,44.0,671.0,id_803,2,14.0,0.0,2.94,16.94,2016-04-08 13:01:00
32179.0,204.6,0.0,nesicCLOUD,0,0,2021-05-01,44.0,684.0,id_1043,12,204.6,0.0,42.97,247.57,2017-12-13 10:39:00
32180.0,210.59,0.0,RMM,0,0,2021-05-01,44.0,685.0,id_1043,12,210.59,0.0,44.22,254.81,2017-12-13 10:39:00
32181.0,7.5,0.0,Copia de seguridad,0,0,2021-05-01,44.0,686.0,id_1043,12,166.62,0.0,34.99,201.61,2017-12-13 10:39:00
32181.0,159.12,0.0,nesicCLOUD,0,0,2021-05-01,44.0,686.0,id_1043,12,166.62,0.0,34.99,201.61,2017-12-13 10:39:00
32177.0,460.0,0.0,Venta de equipos,0,0,2021-05-01,44.0,682.0,id_751,1,465.08,0.0,97.67,562.75,2016-04-08 13:01:00
32177.0,5.08,0.0,Venta accesorios,0,0,2021-05-01,44.0,682.0,id_751,1,465.08,0.0,97.67,562.75,2016-04-08 13:01:00
32178.0,196.25,0.0,Venta accesorios,0,0,2021-05-01,44.0,683.0,id_488,1,196.25,0.0,41.21,237.46,2016-04-08 13:00:00
32044.0,85.89,0.0,Venta accesorios,0,0,2021-04-15,44.0,550.0,id_1089,1,85.89,0.0,18.04,103.93,2020-01-14 16:30:00
32046.0,31.58,0.0,Venta accesorios,0,0,2021-04-16,44.0,552.0,id_751,1,31.58,0.0,6.63,38.21,2016-04-08 13:01:00
32047.0,36.25,0.0,Venta accesorios,0,0,2021-04-16,44.0,553.0,id_488,1,36.25,0.0,7.61,43.86,2016-04-08 13:00:00
32051.0,65.0,0.0,Venta accesorios,0,0,2021-04-16,44.0,557.0,id_1110,1,65.0,0.0,13.65,78.65,2021-01-11 10:03:00
32142.0,127.47,0.0,Copia de seguridad,0,0,2021-05-01,44.0,647.0,id_1088,0,172.25,0.0,36.17,208.42,2019-12-30 09:09:00
32142.0,44.78,0.0,RMM,0,0,2021-05-01,44.0,647.0,id_1088,0,172.25,0.0,36.17,208.42,2019-12-30 09:09:00
32190.0,32.97,0.0,Venta accesorios,0,0,2021-05-06,44.0,695.0,id_1055,1,32.97,0.0,6.92,39.89,2018-04-11 19:09:00
32187.0,13.3,0.0,Venta accesorios,0,0,2021-05-05,44.0,692.0,id_751,1,13.3,0.0,2.79,16.09,2016-04-08 13:01:00
32197.0,16.13,0.0,Horas sueltas,0,0,2021-05-10,44.0,702.0,id_913,2,16.13,0.0,3.39,19.52,2016-04-08 13:01:00
32209.0,2080.0,0.0,Desarrollo SW,0,0,2021-05-17,44.0,714.0,id_1093,12,2080.0,0.0,436.8,2516.8,2020-02-28 12:07:00
32208.0,2205.0,0.0,Desarrollo SW,0,0,2021-05-17,44.0,713.0,id_1093,12,2205.0,0.0,463.05,2668.05,2020-02-28 12:07:00
32204.0,890.1,0.0,Horas sueltas,0,0,2021-05-17,44.0,709.0,id_488,1,4286.1,0.0,900.08,5186.18,2016-04-08 13:00:00
